,help,metrics,name,type
0,"TcpExt IPReversePathFilter from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_IPReversePathFilter,GAUGE
0,"TcpExt TCPSackShiftFallback from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPSackShiftFallback,GAUGE
0,Filesystem free space in bytes.,"{u'labels': {u'device': u'/dev/disk/by-uuid/64ecdf77-db7b-48a8-9066-abfb837f2e24', u'mountpoint': u'/', u'fstype': u'ext4'}, u'value': u'3.9943901184e+10'}",node_filesystem_free,GAUGE
1,Filesystem free space in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/run/lock', u'fstype': u'tmpfs'}, u'value': u'5.24288e+06'}",node_filesystem_free,GAUGE
2,Filesystem free space in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/run/shm', u'fstype': u'tmpfs'}, u'value': u'1.037008896e+09'}",node_filesystem_free,GAUGE
3,Filesystem free space in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/run/user', u'fstype': u'tmpfs'}, u'value': u'1.048576e+08'}",node_filesystem_free,GAUGE
4,Filesystem free space in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/vagrant', u'fstype': u'vboxsf'}, u'value': u'4.241481728e+10'}",node_filesystem_free,GAUGE
5,Filesystem free space in bytes.,"{u'labels': {u'device': u'rootfs', u'mountpoint': u'/', u'fstype': u'rootfs'}, u'value': u'3.9943901184e+10'}",node_filesystem_free,GAUGE
6,Filesystem free space in bytes.,"{u'labels': {u'device': u'rpc_pipefs', u'mountpoint': u'/run/rpc_pipefs', u'fstype': u'rpc_pipefs'}, u'value': u'0'}",node_filesystem_free,GAUGE
7,Filesystem free space in bytes.,"{u'labels': {u'device': u'tmpfs', u'mountpoint': u'/run', u'fstype': u'tmpfs'}, u'value': u'2.07015936e+08'}",node_filesystem_free,GAUGE
0,The total number of sectors read successfully.,"{u'labels': {u'device': u'sda'}, u'value': u'466238'}",node_disk_sectors_read,COUNTER
1,The total number of sectors read successfully.,"{u'labels': {u'device': u'sr0'}, u'value': u'0'}",node_disk_sectors_read,COUNTER
0,"Icmp InEchoReps from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_InEchoReps,GAUGE
0,Number of goroutines that currently exist.,{u'value': u'11'},go_goroutines,GAUGE
0,"TcpExt TCPSackShifted from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPSackShifted,GAUGE
0,"Icmp OutAddrMaskReps from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutAddrMaskReps,GAUGE
0,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'eth0'}, u'value': u'17565'}",node_network_receive_packets,GAUGE
1,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'eth1'}, u'value': u'0'}",node_network_receive_packets,GAUGE
2,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'eth2'}, u'value': u'0'}",node_network_receive_packets,GAUGE
3,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'eth3'}, u'value': u'0'}",node_network_receive_packets,GAUGE
4,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'lo'}, u'value': u'0'}",node_network_receive_packets,GAUGE
0,"Tcp InSegs from /proc/net/{netstat,snmp}.",{u'value': u'17294'},node_netstat_Tcp_InSegs,GAUGE
0,Dirty from /proc/meminfo.,{u'value': u'0'},node_memory_Dirty,GAUGE
0,"TcpExt TCPForwardRetrans from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPForwardRetrans,GAUGE
0,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'guest', u'cpu': u'cpu0'}, u'value': u'0'}",node_cpu,COUNTER
1,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'idle', u'cpu': u'cpu0'}, u'value': u'8747.87'}",node_cpu,COUNTER
2,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'iowait', u'cpu': u'cpu0'}, u'value': u'8.14'}",node_cpu,COUNTER
3,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'irq', u'cpu': u'cpu0'}, u'value': u'3.8'}",node_cpu,COUNTER
4,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'nice', u'cpu': u'cpu0'}, u'value': u'0'}",node_cpu,COUNTER
5,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'softirq', u'cpu': u'cpu0'}, u'value': u'0'}",node_cpu,COUNTER
6,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'steal', u'cpu': u'cpu0'}, u'value': u'0'}",node_cpu,COUNTER
7,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'system', u'cpu': u'cpu0'}, u'value': u'19.63'}",node_cpu,COUNTER
8,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'user', u'cpu': u'cpu0'}, u'value': u'17.45'}",node_cpu,COUNTER
9,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'guest', u'cpu': u'cpu1'}, u'value': u'0'}",node_cpu,COUNTER
10,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'idle', u'cpu': u'cpu1'}, u'value': u'8769.3'}",node_cpu,COUNTER
11,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'iowait', u'cpu': u'cpu1'}, u'value': u'1.45'}",node_cpu,COUNTER
12,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'irq', u'cpu': u'cpu1'}, u'value': u'1.22'}",node_cpu,COUNTER
13,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'nice', u'cpu': u'cpu1'}, u'value': u'0'}",node_cpu,COUNTER
14,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'softirq', u'cpu': u'cpu1'}, u'value': u'0'}",node_cpu,COUNTER
15,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'steal', u'cpu': u'cpu1'}, u'value': u'0'}",node_cpu,COUNTER
16,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'system', u'cpu': u'cpu1'}, u'value': u'15.67'}",node_cpu,COUNTER
17,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'user', u'cpu': u'cpu1'}, u'value': u'8'}",node_cpu,COUNTER
0,The number of I/Os currently in progress.,"{u'labels': {u'device': u'sda'}, u'value': u'0'}",node_disk_io_now,GAUGE
1,The number of I/Os currently in progress.,"{u'labels': {u'device': u'sr0'}, u'value': u'0'}",node_disk_io_now,GAUGE
0,"Icmp OutParmProbs from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutParmProbs,GAUGE
0,"Ip InHdrErrors from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_InHdrErrors,GAUGE
0,"Icmp InEchos from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_InEchos,GAUGE
0,"TcpExt TCPDSACKOfoRecv from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPDSACKOfoRecv,GAUGE
0,"Tcp InCsumErrors from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Tcp_InCsumErrors,GAUGE
0,NFS_Unstable from /proc/meminfo.,{u'value': u'0'},node_memory_NFS_Unstable,GAUGE
0,"Icmp OutTimestampReps from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutTimestampReps,GAUGE
0,"Udp OutDatagrams from /proc/net/{netstat,snmp}.",{u'value': u'20'},node_netstat_Udp_OutDatagrams,GAUGE
0,SwapCached from /proc/meminfo.,{u'value': u'0'},node_memory_SwapCached,GAUGE
0,"TcpExt DelayedACKLost from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_DelayedACKLost,GAUGE
0,"Ip FragOKs from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_FragOKs,GAUGE
0,"Udp NoPorts from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Udp_NoPorts,GAUGE
0,"Icmp OutTimestamps from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutTimestamps,GAUGE
0,WritebackTmp from /proc/meminfo.,{u'value': u'0'},node_memory_WritebackTmp,GAUGE
0,"TcpExt ListenOverflows from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_ListenOverflows,GAUGE
0,Shmem from /proc/meminfo.,{u'value': u'393216'},node_memory_Shmem,GAUGE
0,"TcpExt TCPMinTTLDrop from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPMinTTLDrop,GAUGE
0,"Icmp InErrors from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_InErrors,GAUGE
0,The total number of sectors written successfully.,"{u'labels': {u'device': u'sda'}, u'value': u'5032'}",node_disk_sectors_written,COUNTER
1,The total number of sectors written successfully.,"{u'labels': {u'device': u'sr0'}, u'value': u'0'}",node_disk_sectors_written,COUNTER
0,"TcpExt TCPRenoFailures from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPRenoFailures,GAUGE
0,"TcpExt PruneCalled from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_PruneCalled,GAUGE
0,Filesystem size in bytes.,"{u'labels': {u'device': u'/dev/disk/by-uuid/64ecdf77-db7b-48a8-9066-abfb837f2e24', u'mountpoint': u'/', u'fstype': u'ext4'}, u'value': u'4.1612050432e+10'}",node_filesystem_size,GAUGE
1,Filesystem size in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/run/lock', u'fstype': u'tmpfs'}, u'value': u'5.24288e+06'}",node_filesystem_size,GAUGE
2,Filesystem size in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/run/shm', u'fstype': u'tmpfs'}, u'value': u'1.037008896e+09'}",node_filesystem_size,GAUGE
3,Filesystem size in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/run/user', u'fstype': u'tmpfs'}, u'value': u'1.048576e+08'}",node_filesystem_size,GAUGE
4,Filesystem size in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/vagrant', u'fstype': u'vboxsf'}, u'value': u'6.4793505792e+10'}",node_filesystem_size,GAUGE
5,Filesystem size in bytes.,"{u'labels': {u'device': u'rootfs', u'mountpoint': u'/', u'fstype': u'rootfs'}, u'value': u'4.1612050432e+10'}",node_filesystem_size,GAUGE
6,Filesystem size in bytes.,"{u'labels': {u'device': u'rpc_pipefs', u'mountpoint': u'/run/rpc_pipefs', u'fstype': u'rpc_pipefs'}, u'value': u'0'}",node_filesystem_size,GAUGE
7,Filesystem size in bytes.,"{u'labels': {u'device': u'tmpfs', u'mountpoint': u'/run', u'fstype': u'tmpfs'}, u'value': u'2.07405056e+08'}",node_filesystem_size,GAUGE
0,"IpExt InNoRoutes from /proc/net/{netstat,snmp}.",{u'value': u'7'},node_netstat_IpExt_InNoRoutes,GAUGE
0,Total user and system CPU time spent in seconds.,{u'value': u'33.66'},process_cpu_seconds_total,COUNTER
0,Total number of HTTP requests made.,"{u'labels': {u'code': u'200', u'handler': u'prometheus', u'method': u'get'}, u'value': u'1885'}",http_requests_total,COUNTER
0,"UdpLite InErrors from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_UdpLite_InErrors,GAUGE
0,"TcpExt TCPRetransFail from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPRetransFail,GAUGE
0,"TcpExt TCPHPAcks from /proc/net/{netstat,snmp}.",{u'value': u'6286'},node_netstat_TcpExt_TCPHPAcks,GAUGE
0,"TcpExt TCPAbortOnData from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPAbortOnData,GAUGE
0,SUnreclaim from /proc/meminfo.,{u'value': u'9.027584e+06'},node_memory_SUnreclaim,GAUGE
0,"TcpExt TCPHPHits from /proc/net/{netstat,snmp}.",{u'value': u'109'},node_netstat_TcpExt_TCPHPHits,GAUGE
0,"TcpExt TCPMD5Unexpected from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPMD5Unexpected,GAUGE
0,"Tcp RtoAlgorithm from /proc/net/{netstat,snmp}.",{u'value': u'1'},node_netstat_Tcp_RtoAlgorithm,GAUGE
0,Inactive_anon from /proc/meminfo.,{u'value': u'290816'},node_memory_Inactive_anon,GAUGE
0,"TcpExt TCPRenoRecovery from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPRenoRecovery,GAUGE
0,System time in seconds since epoch (1970).,{u'value': u'1.459107217e+09'},node_time,COUNTER
0,node_exporter: Duration of a scrape job.,"{u'count': u'1902', u'sum': u'1.089802553999999', u'quantiles': {u'0.9': u'0.000759318', u'0.5': u'0.000329869', u'0.99': u'0.001158477'}, u'labels': {u'collector': u'diskstats', u'result': u'success'}}",node_exporter_scrape_duration_seconds,SUMMARY
1,node_exporter: Duration of a scrape job.,"{u'count': u'1902', u'sum': u'2.391700742000004', u'quantiles': {u'0.9': u'0.002314258', u'0.5': u'0.000511012', u'0.99': u'0.0054709680000000005'}, u'labels': {u'collector': u'filesystem', u'result': u'success'}}",node_exporter_scrape_duration_seconds,SUMMARY
2,node_exporter: Duration of a scrape job.,"{u'count': u'1902', u'sum': u'0.21571398000000047', u'quantiles': {u'0.9': u'0.00015127400000000002', u'0.5': u'7.6236e-05', u'0.99': u'0.000216495'}, u'labels': {u'collector': u'loadavg', u'result': u'success'}}",node_exporter_scrape_duration_seconds,SUMMARY
3,node_exporter: Duration of a scrape job.,"{u'count': u'1902', u'sum': u'0.7156400990000007', u'quantiles': {u'0.9': u'0.000483405', u'0.5': u'0.000234767', u'0.99': u'0.000931335'}, u'labels': {u'collector': u'meminfo', u'result': u'success'}}",node_exporter_scrape_duration_seconds,SUMMARY
4,node_exporter: Duration of a scrape job.,"{u'count': u'1902', u'sum': u'0.9266189549999991', u'quantiles': {u'0.9': u'0.000650478', u'0.5': u'0.000286684', u'0.99': u'0.001104664'}, u'labels': {u'collector': u'netdev', u'result': u'success'}}",node_exporter_scrape_duration_seconds,SUMMARY
5,node_exporter: Duration of a scrape job.,"{u'count': u'1902', u'sum': u'1.0407024299999996', u'quantiles': {u'0.9': u'0.0006788580000000001', u'0.5': u'0.000324131', u'0.99': u'0.001046737'}, u'labels': {u'collector': u'netstat', u'result': u'success'}}",node_exporter_scrape_duration_seconds,SUMMARY
6,node_exporter: Duration of a scrape job.,"{u'count': u'1902', u'sum': u'0.5061305210000001', u'quantiles': {u'0.9': u'0.000319365', u'0.5': u'0.00015035300000000002', u'0.99': u'0.00046968300000000004'}, u'labels': {u'collector': u'stat', u'result': u'success'}}",node_exporter_scrape_duration_seconds,SUMMARY
7,node_exporter: Duration of a scrape job.,"{u'count': u'1902', u'sum': u'0.00753963499999999', u'quantiles': {u'0.9': u'5.265e-06', u'0.5': u'2.437e-06', u'0.99': u'1.2937e-05'}, u'labels': {u'collector': u'textfile', u'result': u'success'}}",node_exporter_scrape_duration_seconds,SUMMARY
8,node_exporter: Duration of a scrape job.,"{u'count': u'1902', u'sum': u'0.029502658000000022', u'quantiles': {u'0.9': u'1.9574000000000003e-05', u'0.5': u'9.199000000000001e-06', u'0.99': u'3.6106e-05'}, u'labels': {u'collector': u'time', u'result': u'success'}}",node_exporter_scrape_duration_seconds,SUMMARY
0,"Tcp ActiveOpens from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Tcp_ActiveOpens,GAUGE
0,"TcpExt RcvPruned from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_RcvPruned,GAUGE
0,VmallocTotal from /proc/meminfo.,{u'value': u'3.5184372087808e+13'},node_memory_VmallocTotal,GAUGE
0,"TcpExt TCPTimeWaitOverflow from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPTimeWaitOverflow,GAUGE
0,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth0'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
1,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth1'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
2,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth2'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
3,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth3'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
4,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'lo'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
0,"TcpExt TCPSACKDiscard from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPSACKDiscard,GAUGE
0,"Ip DefaultTTL from /proc/net/{netstat,snmp}.",{u'value': u'64'},node_netstat_Ip_DefaultTTL,GAUGE
0,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth0'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
1,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth1'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
2,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth2'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
3,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth3'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
4,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'lo'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
0,"Ip FragCreates from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_FragCreates,GAUGE
0,"TcpExt TCPOFOMerge from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPOFOMerge,GAUGE
0,MemTotal from /proc/meminfo.,{u'value': u'2.074021888e+09'},node_memory_MemTotal,GAUGE
0,SwapFree from /proc/meminfo.,{u'value': u'5.34769664e+08'},node_memory_SwapFree,GAUGE
0,"Udp SndbufErrors from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Udp_SndbufErrors,GAUGE
0,"IpExt OutBcastOctets from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_IpExt_OutBcastOctets,GAUGE
0,"IpExt OutOctets from /proc/net/{netstat,snmp}.",{u'value': u'1.3598884e+07'},node_netstat_IpExt_OutOctets,GAUGE
0,Resident memory size in bytes.,{u'value': u'1.4303232e+07'},process_resident_memory_bytes,GAUGE
0,Committed_AS from /proc/meminfo.,{u'value': u'1.08027904e+08'},node_memory_Committed_AS,GAUGE
0,"Ip InDiscards from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_InDiscards,GAUGE
0,HardwareCorrupted from /proc/meminfo.,{u'value': u'0'},node_memory_HardwareCorrupted,GAUGE
0,"TcpExt TCPFastOpenActive from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPFastOpenActive,GAUGE
0,VmallocChunk from /proc/meminfo.,{u'value': u'3.5184337805312e+13'},node_memory_VmallocChunk,GAUGE
0,The HTTP request latencies in microseconds.,"{u'count': u'1883', u'sum': u'2.0067407172000013e+07', u'quantiles': {u'0.9': u'14315.632', u'0.5': u'7709.346', u'0.99': u'19956.644'}, u'labels': {u'handler': u'prometheus'}}",http_request_duration_microseconds,SUMMARY
0,AnonHugePages from /proc/meminfo.,{u'value': u'8.388608e+06'},node_memory_AnonHugePages,GAUGE
