Timestamp;cpu.wait_perc
1474387381.0;13.4
1474387411.0;16.6
1474387441.0;13.8
1474387471.0;12.7
1474387500.0;14.6
1474387531.0;14.9
1474387561.0;14.6
1474387591.0;14.3
1474387621.0;15.0
1474387651.0;13.4
1474387681.0;11.7
1474387711.0;14.1
1474387741.0;13.2
1474387771.0;11.6
1474387801.0;11.1
1474387831.0;12.4
1474387861.0;13.2
1474387891.0;16.1
1474387921.0;16.3
1474387951.0;16.1
1474387981.0;14.8
1474388011.0;12.5
1474388041.0;15.0
1474388071.0;12.5
1474388101.0;12.0
1474388131.0;11.4
1474388161.0;14.3
1474388191.0;12.4
1474388221.0;11.3
1474388251.0;12.9
1474388281.0;11.7
1474388311.0;11.7
1474388341.0;11.1
1474388371.0;12.3
1474388401.0;12.9
1474388431.0;13.9
1474388465.0;16.2
1474388491.0;15.9
1474388521.0;16.2
1474388551.0;13.4
1474388581.0;13.2
1474388611.0;12.2
1474388641.0;12.6
1474388671.0;16.3
1474388701.0;16.2
1474388731.0;16.3
1474388761.0;16.7
1474388791.0;13.7
1474388821.0;13.2
1474388851.0;13.9
1474388881.0;16.0
1474388911.0;16.5
1474388941.0;14.3
1474388971.0;13.3
1474389001.0;13.3
1474389031.0;13.1
1474389061.0;14.3
1474389091.0;16.0
1474389121.0;15.6
1474389151.0;13.5
1474389181.0;12.9
1474389211.0;13.9
1474389241.0;14.9
1474389271.0;14.3
1474389301.0;15.6
1474389331.0;14.4
1474389361.0;14.1
1474389391.0;14.8
1474389421.0;13.5
1474389451.0;15.3
1474389481.0;14.9
1474389511.0;15.2
1474389541.0;12.9
1474389571.0;12.3
1474389601.0;11.9
1474389631.0;11.5
1474389661.0;10.7
1474389691.0;11.3
1474389721.0;14.8
1474389751.0;11.1
1474389781.0;11.3
1474389811.0;11.0
1474389841.0;11.5
1474389871.0;12.8
1474389901.0;12.7
1474389931.0;16.7
1474389961.0;17.3
1474389991.0;16.8
1474390021.0;17.4
1474390051.0;17.0
1474390081.0;15.6
1474390111.0;13.0
1474390141.0;14.8
1474390171.0;15.8
1474390201.0;15.2
1474390231.0;14.0
1474390261.0;14.3
1474390291.0;14.1
1474390321.0;14.1
1474390351.0;16.8
1474390381.0;16.4
1474390411.0;17.2
1474390441.0;16.0
1474390471.0;12.3
1474390501.0;13.6
1474390531.0;16.1
1474390561.0;16.1
1474390591.0;16.7
1474390621.0;15.6
1474390651.0;13.2
1474390681.0;13.2
1474390711.0;14.1
1474390741.0;15.1
1474390771.0;16.6
1474390801.0;16.6
1474390831.0;15.2
1474390861.0;12.0
1474390891.0;11.6
1474390921.0;11.1
1474390951.0;12.3
1474390981.0;16.3
1474391011.0;16.6
1474391041.0;16.1
1474391071.0;16.6
1474391101.0;16.4
1474391131.0;16.2
1474391161.0;15.6
1474391191.0;15.1
1474391221.0;15.4
1474391251.0;11.4
1474391281.0;14.0
1474391311.0;14.2
1474391341.0;14.2
1474391371.0;14.3
1474391401.0;14.6
1474391431.0;12.3
1474391461.0;12.0
1474391491.0;12.2
1474391521.0;13.7
1474391551.0;13.4
1474391581.0;14.3
1474391611.0;13.2
1474391641.0;13.4
1474391671.0;12.8
1474391701.0;13.9
1474391731.0;14.1
1474391761.0;14.1
1474391791.0;14.9
1474391821.0;14.2
1474391851.0;14.5
1474391881.0;14.4
1474391911.0;14.0
1474391941.0;13.6
1474391971.0;13.5
1474392001.0;13.8
1474392031.0;14.4
1474392061.0;14.0
1474392091.0;14.0
1474392121.0;13.9
1474392151.0;12.9
1474392181.0;14.4
1474392211.0;15.1
1474392241.0;16.3
1474392271.0;15.7
1474392301.0;16.1
1474392331.0;14.9
1474392361.0;11.9
1474392391.0;12.2
1474392421.0;15.3
1474392451.0;16.3
1474392481.0;16.2
1474392511.0;15.5
1474392541.0;14.2
1474392571.0;13.6
1474392601.0;13.8
1474392631.0;15.4
1474392661.0;16.5
1474392691.0;16.2
1474392721.0;16.2
1474392751.0;10.5
1474392781.0;13.5
1474392811.0;13.9
1474392841.0;15.6
1474392871.0;16.5
1474392901.0;17.6
1474392931.0;13.2
1474392961.0;13.8
1474392991.0;14.0
1474393021.0;14.1
1474393051.0;15.8
1474393081.0;16.2
1474393111.0;16.1
1474393141.0;11.7
1474393171.0;12.1
1474393201.0;12.2
1474393231.0;12.6
1474393261.0;16.0
1474393291.0;16.8
1474393321.0;16.1
1474393351.0;16.1
1474393381.0;16.2
1474393412.0;16.6
1474393441.0;15.7
1474393471.0;15.2
1474393501.0;12.4
1474393531.0;11.4
1474393561.0;11.2
1474393591.0;11.5
1474393621.0;11.3
1474393651.0;10.9
1474393681.0;14.6
1474393711.0;15.7
1474393741.0;15.7
1474393771.0;16.5
1474393801.0;16.3
1474393831.0;16.2
1474393861.0;11.9
1474393891.0;15.1
1474393921.0;14.5
1474393951.0;16.0
1474393981.0;15.8
1474394011.0;15.4
1474394041.0;11.2
1474394071.0;11.1
1474394101.0;15.3
1474394131.0;11.8
1474394161.0;12.4
1474394191.0;14.5
1474394221.0;14.6
1474394251.0;11.6
1474394281.0;11.6
1474394311.0;11.1
1474394341.0;11.8
1474394371.0;10.8
1474394401.0;12.5
1474394431.0;11.5
1474394461.0;11.7
1474394491.0;12.1
1474394521.0;15.7
1474394551.0;15.5
1474394581.0;15.7
1474394611.0;12.7
1474394641.0;12.2
1474394671.0;11.9
1474394701.0;12.8
1474394731.0;16.1
1474394761.0;17.0
1474394791.0;16.0
1474394821.0;12.2
1474394851.0;13.7
1474394881.0;14.0
1474394911.0;14.7
1474394941.0;16.6
1474394971.0;16.5
1474395001.0;12.9
1474395031.0;11.6
1474395061.0;12.3
1474395091.0;14.3
1474395121.0;15.0
1474395151.0;15.9
1474395181.0;12.8
1474395211.0;12.1
1474395241.0;11.7
1474395271.0;11.7
1474395301.0;13.9
1474395331.0;15.2
1474395361.0;13.2
1474395391.0;11.7
1474395421.0;12.5
1474395451.0;12.3
1474395481.0;12.4
1474395511.0;13.1
1474395541.0;15.0
1474395571.0;13.4
1474395601.0;14.5
1474395631.0;13.7
1474395661.0;12.6
1474395691.0;11.9
1474395721.0;12.8
1474395751.0;13.9
1474395781.0;12.5
1474395811.0;11.6
1474395841.0;12.2
1474395871.0;12.1
1474395901.0;12.1
1474395931.0;11.7
1474395961.0;14.7
1474395991.0;12.7
1474396021.0;12.2
1474396051.0;11.8
1474396081.0;11.8
1474396111.0;11.7
1474396141.0;12.2
1474396171.0;13.9
1474396201.0;13.2
1474396231.0;12.1
1474396261.0;12.1
1474396291.0;12.5
1474396321.0;11.3
1474396351.0;12.6
1474396381.0;14.3
1474396411.0;16.9
1474396441.0;16.4
1474396471.0;16.9
1474396501.0;16.2
1474396531.0;16.7
1474396561.0;13.4
1474396591.0;14.5
1474396621.0;16.6
1474396651.0;16.4
1474396681.0;16.6
1474396711.0;13.2
1474396741.0;12.2
1474396771.0;11.9
1474396801.0;13.9
1474396831.0;16.7
1474396861.0;16.6
1474396891.0;16.2
1474396921.0;13.0
1474396951.0;12.5
1474396981.0;12.6
1474397011.0;14.1
1474397041.0;15.9
1474397071.0;14.8
1474397101.0;12.8
1474397131.0;12.0
1474397161.0;11.8
1474397191.0;12.2
1474397221.0;15.7
1474397251.0;14.3
1474397281.0;14.9
1474397311.0;15.1
1474397341.0;12.7
1474397371.0;12.4
1474397401.0;12.1
1474397431.0;14.6
1474397461.0;16.7
1474397491.0;13.9
1474397521.0;11.4
1474397551.0;12.1
1474397581.0;12.7
1474397611.0;12.1
1474397641.0;13.2
1474397671.0;11.8
1474397701.0;12.0
1474397731.0;12.6
1474397761.0;14.5
1474397791.0;14.3
1474397821.0;13.1
1474397851.0;15.3
1474397881.0;13.4
1474397911.0;11.9
1474397941.0;12.1
1474397971.0;15.1
1474398001.0;16.7
1474398031.0;13.4
1474398061.0;13.5
1474398091.0;12.1
1474398121.0;12.1
1474398151.0;15.7
1474398181.0;16.4
1474398211.0;17.1
1474398241.0;17.0
1474398271.0;13.8
1474398301.0;12.0
1474398331.0;11.4
1474398361.0;11.9
1474398391.0;11.5
1474398421.0;13.2
1474398451.0;12.1
1474398481.0;15.8
1474398511.0;16.8
1474398541.0;16.4
1474398571.0;16.3
1474398601.0;16.2
1474398631.0;16.0
1474398661.0;16.5
1474398691.0;17.0
1474398721.0;16.2
1474398751.0;15.9
1474398781.0;16.6
1474398811.0;15.0
1474398841.0;12.4
1474398871.0;14.4
1474398901.0;14.6
1474398931.0;12.8
1474398961.0;11.6
1474398991.0;14.4
1474399021.0;16.7
1474399051.0;16.2
1474399081.0;16.6
1474399111.0;15.9
1474399141.0;16.0
1474399171.0;13.6
1474399201.0;10.6
1474399231.0;10.6
1474399261.0;11.0
1474399291.0;11.6
1474399321.0;15.3
1474399351.0;13.7
1474399381.0;11.5
1474399411.0;11.5
1474399441.0;12.4
1474399471.0;12.0
1474399501.0;12.3
1474399531.0;16.0
1474399561.0;14.8
1474399591.0;11.4
1474399621.0;11.7
1474399651.0;11.6
1474399681.0;11.0
1474399711.0;11.9
1474399741.0;14.6
1474399771.0;12.9
1474399801.0;10.7
1474399831.0;14.1
1474399861.0;16.0
1474399891.0;13.7
1474399921.0;12.2
1474399951.0;14.0
1474399981.0;14.6
1474400011.0;14.9
1474400041.0;13.5
1474400071.0;12.4
1474400101.0;11.8
1474400131.0;13.1
1474400161.0;14.0
1474400191.0;13.3
1474400221.0;14.4
1474400251.0;14.8
1474400281.0;12.3
1474400311.0;11.0
1474400341.0;12.5
1474400371.0;15.3
1474400401.0;13.8
1474400431.0;13.8
1474400461.0;12.4
1474400491.0;10.7
1474400521.0;11.1
1474400551.0;13.5
1474400581.0;16.1
1474400611.0;16.2
1474400641.0;15.6
1474400671.0;16.2
1474400701.0;14.3
1474400731.0;12.1
1474400761.0;13.6
1474400791.0;16.3
1474400821.0;16.4
1474400851.0;15.1
1474400881.0;14.0
1474400911.0;12.3
1474400941.0;12.3
1474400971.0;13.4
1474401001.0;16.4
1474401031.0;16.0
1474401061.0;15.0
1474401091.0;13.6
1474401121.0;12.3
1474401151.0;11.7
1474401181.0;14.3
1474401211.0;14.7
1474401241.0;11.8
1474401271.0;12.6
1474401301.0;12.8
1474401331.0;14.7
1474401361.0;16.1
1474401391.0;17.0
1474401421.0;16.6
1474401451.0;15.6
1474401481.0;11.3
1474401511.0;12.3
1474401541.0;16.1
1474401571.0;16.6
1474401601.0;16.3
1474401631.0;15.2
1474401661.0;12.3
1474401691.0;12.4
1474401721.0;12.4
1474401751.0;13.8
1474401781.0;14.8
1474401811.0;14.1
1474401841.0;11.8
1474401843.0;2.3
1474401873.0;10.7
1474401903.0;11.6
1474401933.0;11.1
1474401963.0;11.7
1474401993.0;12.7
1474402023.0;13.0
1474402053.0;12.0
1474402083.0;10.8
1474402113.0;11.3
1474402143.0;11.3
1474402173.0;12.1
1474402203.0;13.6
1474402233.0;14.4
1474402263.0;12.5
1474402293.0;11.9
1474402323.0;11.9
1474402353.0;12.0
1474402383.0;14.3
1474402413.0;12.1
1474402443.0;15.6
1474402473.0;16.6
1474402503.0;16.5
1474402533.0;16.3
1474402563.0;16.7
1474402593.0;15.0
1474402623.0;11.8
1474402653.0;16.7
1474402683.0;16.6
1474402713.0;17.0
1474402743.0;17.0
1474402773.0;16.3
1474402803.0;16.1
1474402833.0;16.6
1474402863.0;16.9
1474402893.0;16.4
1474402923.0;15.7
1474402953.0;11.5
1474402983.0;12.2
1474403013.0;12.0
1474403043.0;11.2
1474403073.0;16.2
1474403103.0;15.1
1474403133.0;12.4
1474403163.0;12.1
1474403193.0;12.2
1474403223.0;15.6
1474403253.0;16.9
1474403283.0;16.1
1474403313.0;15.6
1474403343.0;12.1
1474403373.0;12.7
1474403403.0;11.8
1474403433.0;11.9
1474403463.0;12.3
1474403493.0;15.2
1474403523.0;12.0
1474403553.0;11.2
1474403584.0;12.3
1474403613.0;11.9
1474403643.0;11.8
1474403673.0;11.5
1474403703.0;11.7
1474403733.0;11.4
1474403763.0;14.1
1474403793.0;14.8
1474403823.0;14.8
1474403853.0;14.3
1474403883.0;11.8
1474403913.0;12.1
1474403943.0;11.8
1474403973.0;11.9
1474404003.0;14.5
1474404033.0;14.7
1474404063.0;13.6
1474404093.0;15.3
1474404123.0;15.8
1474404153.0;11.6
1474404183.0;12.1
1474404213.0;13.7
1474404243.0;13.6
1474404273.0;14.6
1474404303.0;14.6
1474404333.0;12.3
1474404363.0;11.6
1474404393.0;12.2
1474404423.0;13.7
1474404453.0;13.2
1474404483.0;12.1
1474404513.0;14.0
1474404543.0;16.6
1474404573.0;16.1
1474404603.0;15.8
1474404633.0;12.3
1474404663.0;12.8
1474404693.0;12.2
1474404723.0;14.2
1474404753.0;17.2
1474404783.0;17.2
1474404813.0;16.3
1474404843.0;12.6
1474404873.0;13.7
1474404903.0;14.7
1474404933.0;16.5
1474404963.0;18.1
1474404993.0;16.8
1474405023.0;12.8
1474405053.0;11.8
1474405083.0;13.0
1474405113.0;14.4
1474405143.0;14.9
1474405173.0;16.7
1474405203.0;15.6
1474405233.0;13.9
1474405263.0;12.7
1474405293.0;12.1
1474405323.0;15.0
1474405353.0;15.7
